Year,Site,Tree,Ruler_Length_mm,Ruler_Width_mm,Ruler_Height_mm,Vol,Lat
2010,170,6,12,12,10,753.6,28.24057
2010,170,6,14,14,10,1025.7333333333,28.24057
2010,170,6,14,13,11,1047.7133333333,28.24057
2010,170,6,14,14,12,1230.88,28.24057
2010,170,6,13,13,10,884.4333333333,28.24057
2010,170,6,14,14,11,1128.3066666667,28.24057
2010,170,6,14,14,10,1025.7333333333,28.24057
2010,170,6,12,10,9,565.2,28.24057
2010,170,6,15,14,13,1428.7,28.24057
2010,170,6,13,13,11,972.8766666667,28.24057
2010,170,6,13,12,11,898.04,28.24057
2010,170,6,13,12,10,816.4,28.24057
2010,170,6,11,11,7,443.2633333333,28.24057
2010,170,6,13,12,9,734.76,28.24057
2010,170,6,13,13,9,795.99,28.24057
2010,170,6,15,15,13,1530.75,28.24057
2010,170,6,13,12,11,898.04,28.24057
2010,170,6,12,12,9,678.24,28.24057
2010,170,6,12,12,9,678.24,28.24057
2010,170,6,15,14,11,1208.9,28.24057
2010,172,2,16,16,14,1875.6266666667,28.2913
2010,172,2,18,19,14,2505.72,28.2913
2010,172,2,17,17,16,2419.8933333333,28.2913
2010,172,2,17,16,17,2419.8933333333,28.2913
2010,172,2,17,16,16,2277.5466666667,28.2913
2010,172,2,16,17,16,2277.5466666667,28.2913
2010,172,2,17,17,15,2268.65,28.2913
2010,172,2,15,15,14,1648.5,28.2913
2010,172,2,16,15,15,1884,28.2913
2010,172,2,14,14,14,1436.0266666667,28.2913
2010,172,2,18,17,17,2722.38,28.2913
2010,172,2,15,17,15,2001.75,28.2913
2010,172,2,18,17,15,2402.1,28.2913
2010,172,2,14,14,12,1230.88,28.2913
2010,172,2,15,14,14,1538.6,28.2913
2010,172,2,15,15,13,1530.75,28.2913
2010,172,2,18,18,17,2882.52,28.2913
2010,172,2,15,14,14,1538.6,28.2913
2010,172,2,15,14,13,1428.7,28.2913
2010,172,2,14,13,14,1333.4533333333,28.2913
2010,172,2,16,15,14,1758.4,28.2913
2010,172,2,15,16,14,1758.4,28.2913
2010,172,2,14,15,12,1318.8,28.2913
2010,172,2,14,12,11,967.12,28.2913
2010,172,2,15,15,13,1530.75,28.2913
2010,70,70,15,18,14,1978.2,23.73629
2010,70,70,17,19,15,2535.55,23.73629
2010,70,70,21,21,16,3692.64,23.73629
2010,70,70,NA,NA,NA,NA,23.73629
2010,70,70,15,16,14,1758.4,23.73629
2010,70,70,16,16,15,2009.6,23.73629
2010,70,70,15,14,15,1648.5,23.73629
2010,70,70,14,14,12,1230.88,23.73629
2010,70,70,18,16,14,2110.08,23.73629
2010,70,70,12,11,15,1036.2,23.73629
2010,70,70,18,17,15,2402.1,23.73629
2010,70,70,17,18,15,2402.1,23.73629
2010,70,70,15,16,14,1758.4,23.73629
2010,70,70,16,16,16,2143.5733333333,23.73629
2010,70,70,15,17,14,1868.3,23.73629
2010,172,30,11,11,9,569.91,28.29067
2010,172,30,14,13,11,1047.7133333333,28.29067
2010,172,30,14,14,14,1436.0266666667,28.29067
2010,172,30,15,14,14,1538.6,28.29067
2010,172,30,15,15,11,1295.25,28.29067
2010,172,30,14,14,10,1025.7333333333,28.29067
2010,172,30,11,11,10,633.2333333333,28.29067
2010,172,30,14,13,13,1238.2066666667,28.29067
2010,172,30,14,13,12,1142.96,28.29067
2010,172,30,13,12,11,898.04,28.29067
2010,172,30,16,15,13,1632.8,28.29067
2010,172,30,11,11,8,506.5866666667,28.29067
